"date","month","id_invoice","branch_location","customer","product","brand","total_product_sold","price_per_unit","total_revenue"
"2022-04-03","April","IN6271","Lampung","KLINIK DR. ANDRI","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","SLCYL",22,5648,124256
"2022-04-04","April","IN6207","Aceh","APOTEK TAPAK","KETOCONAZOLE TABLET 200 MG","OGB & PH",12,2819,33828
"2022-04-05","April","IN6187","Kuningan","APOTEK MAJA","ERGOTAMINE COFFEINE","ETIKAL",25,4592,114800
"2022-04-06","April","IN5995","Jakarta","KLINIK GM","TETRACYCLINE KAPSUL 250 MG","MARCKS",14,3992,55888
"2022-04-07","April","IN6156","Bandung","APOTEK MERDEKA","AMBROXOL HC","VNS",24,5781,138744
"2022-04-08","April","IN6232","Tangerang","KLINIK SAHABAT","PARACETAMOL","SLCYL",10,6940,69400
"2022-04-09","April","IN5998","Bekasi","APOTEK SINAR JAYA","ACYCLOVIR DUS","OGB & PH",23,1170,26910
"2022-04-10","April","IN6227","Padang","APOTEK SAHABAT","ALERGINE TABLET SALUT","ETIKAL",12,2338,28056
"2022-04-11","April","IN6027","Aceh","APOTEK TAPAK","AMPICILLIN","MARCKS",10,10691,106910
"2022-04-12","April","IN6157","Kuningan","APOTEK MAJA","TRAMADOL KAPSUL 50 MG","VNS",67,8701,582967
"2022-04-13","April","IN6180","Jakarta","KLINIK GM","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","SLCYL",98,5648,553504
"2022-04-14","April","IN6257","Bandung","APOTEK MERDEKA","KETOCONAZOLE TABLET 200 MG","OGB & PH",5,2819,14095
"2022-04-15","April","IN6031","Tangerang","KLINIK SAHABAT","ACYCLOVIR DUS","ETIKAL",4,4592,18368
"2022-04-16","April","IN6075","Bandung","APOTEK MERDEKA","AMBROXOL HC","VNS",48,5781,277488
"2022-04-16","April","IN6082","Bekasi","APOTEK SINAR JAYA","ALERGINE TABLET SALUT","MARCKS",8,3992,31936
"2022-04-17","April","IN6174","Padang","APOTEK SAHABAT","AMPICILLIN","VNS",9,5781,52029
"2022-04-17","April","IN6218","Tangerang","KLINIK SAHABAT","PARACETAMOL","SLCYL",21,6940,145740
"2022-04-18","April","IN5985","Bekasi","APOTEK SINAR JAYA","ACYCLOVIR DUS","OGB & PH",22,1170,25740
"2022-04-18","April","IN6194","Kuningan","APOTEK MAJA","AMBROXOL HC","VNS",25,5781,144525
"2022-04-18","April","IN6237","Lampung","KLINIK DR. ANDRI","TRAMADOL KAPSUL 50 MG","SLCYL",10,6940,69400
"2022-04-18","April","IN6138","Tangerang","KLINIK SAHABAT","ALERGINE TABLET SALUT","ETIKAL",10,2338,23380
"2022-04-19","April","IN6021","Aceh","APOTEK TAPAK","ACYCLOVIR DUS","OGB & PH",7,1170,8190
"2022-04-19","April","IN6316","Bekasi","APOTEK SINAR JAYA","AMPICILLIN","MARCKS",120,10691,1282920
"2022-04-19","April","IN5987","Jakarta","KLINIK GM","PARACETAMOL","SLCYL",14,6940,97160
"2022-04-19","April","IN6154","Padang","APOTEK SAHABAT","ALERGINE TABLET SALUT","ETIKAL",12,2338,28056
"2022-04-20","April","IN6145","Aceh","APOTEK TAPAK","AMPICILLIN","MARCKS",25,10691,267275
"2022-04-20","April","IN6313","Bandung","APOTEK MERDEKA","ACYCLOVIR DUS","OGB & PH",24,1170,28080
"2022-04-20","April","IN6056","Kuningan","APOTEK MAJA","ALERGINE TABLET SALUT","ETIKAL",100,2338,233800
"2022-04-20","April","IN6019","Padang","APOTEK SAHABAT","TRAMADOL KAPSUL 50 MG","VNS",12,8701,104412
"2022-04-21","April","IN5983","Jakarta","KLINIK GM","AMPICILLIN","MARCKS",67,10691,716297
"2022-04-21","April","IN6315","Kuningan","APOTEK MAJA","TRAMADOL KAPSUL 50 MG","VNS",14,8701,121814
"2022-04-22","April","IN6139","Bandung","APOTEK MERDEKA","TRAMADOL KAPSUL 50 MG","VNS",78,8701,678678
"2022-04-23","April","IN6126","Tangerang","KLINIK SAHABAT","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","SLCYL",45,5648,254160
"2022-04-24","April","IN6127","Bekasi","APOTEK SINAR JAYA","KETOCONAZOLE TABLET 200 MG","OGB & PH",34,2819,95846
"2022-04-25","April","IN6035","Padang","APOTEK SAHABAT","ERGOTAMINE COFFEINE","ETIKAL",20,4592,91840
"2022-04-26","April","IN6047","Aceh","APOTEK TAPAK","KETOCONAZOLE TABLET 200 MG","OGB & PH",12,2819,33828
"2022-04-26","April","IN6309","Aceh","APOTEK TAPAK","TETRACYCLINE KAPSUL 250 MG","MARCKS",45,3992,179640
"2022-04-27","April","IN6073","Kuningan","APOTEK MAJA","AMBROXOL HC","VNS",34,5781,196554
"2022-04-27","April","IN6071","Kuningan","APOTEK MAJA","ERGOTAMINE COFFEINE","ETIKAL",95,4592,436240
"2022-04-28","April","IN6277","Jakarta","KLINIK GM","PARACETAMOL","SLCYL",34,6940,235960
"2022-04-28","April","IN6009","Jakarta","KLINIK GM","TETRACYCLINE KAPSUL 250 MG","MARCKS",76,3992,303392
"2022-04-29","April","IN6197","Bandung","APOTEK MERDEKA","ACYCLOVIR DUS","OGB & PH",34,1170,39780
"2022-04-30","April","IN6265","Bandung","APOTEK MERDEKA","AMBROXOL HC","VNS",25,5781,144525
"2022-04-30","April","IN6304","Bandung","APOTEK MERDEKA","AMBROXOL HC","VNS",44,5781,254364
"2022-04-30","April","IN6106","Bandung","APOTEK MERDEKA","TRAMADOL KAPSUL 50 MG","VNS",4,8701,34804
"2022-04-30","April","IN6097","Kuningan","APOTEK MAJA","AMBROXOL HC","VNS",100,5781,578100
"2022-04-30","April","IN6249","Kuningan","APOTEK MAJA","TRAMADOL KAPSUL 50 MG","VNS",25,8701,217525
"2022-04-30","April","IN6132","Padang","APOTEK SAHABAT","AMPICILLIN","VNS",12,5781,69372
"2022-04-30","April","IN6310","Padang","APOTEK SAHABAT","TRAMADOL KAPSUL 50 MG","VNS",14,8701,121814
"2022-04-30","April","IN6101","Padang","APOTEK SAHABAT","TRAMADOL KAPSUL 50 MG","VNS",20,8701,174020
"2022-04-30","April","IN6225","Tangerang","KLINIK SAHABAT","ALERGINE TABLET SALUT","ETIKAL",44,2338,102872
"2022-05-01","May","IN5999","Bekasi","APOTEK SINAR JAYA","AMPICILLIN","MARCKS",5,10691,53455
"2022-05-01","May","IN6067","Jakarta","KLINIK GM","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","SLCYL",14,5648,79072
"2022-05-01","May","IN5989","Jakarta","KLINIK GM","PARACETAMOL","SLCYL",67,6940,464980
"2022-05-01","May","IN6044","Lampung","KLINIK DR. ANDRI","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","SLCYL",18,5648,101664
"2022-05-01","May","IN6142","Lampung","KLINIK DR. ANDRI","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","SLCYL",45,5648,254160
"2022-05-01","May","IN6030","Lampung","KLINIK DR. ANDRI","TRAMADOL KAPSUL 50 MG","SLCYL",10,6940,69400
"2022-05-01","May","IN5984","Tangerang","KLINIK SAHABAT","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","SLCYL",8,5648,45184
"2022-05-01","May","IN6004","Tangerang","KLINIK SAHABAT","PARACETAMOL","SLCYL",5,6940,34700
"2022-05-01","May","IN6158","Tangerang","KLINIK SAHABAT","PARACETAMOL","SLCYL",14,6940,97160
"2022-05-02","May","IN6094","Aceh","APOTEK TAPAK","ACYCLOVIR DUS","OGB & PH",67,1170,78390
"2022-05-02","May","IN6178","Aceh","APOTEK TAPAK","KETOCONAZOLE TABLET 200 MG","OGB & PH",18,2819,50742
"2022-05-02","May","IN6312","Aceh","APOTEK TAPAK","KETOCONAZOLE TABLET 200 MG","OGB & PH",34,2819,95846
"2022-05-02","May","IN6151","Bandung","APOTEK MERDEKA","ACYCLOVIR DUS","OGB & PH",78,1170,91260
"2022-05-02","May","IN6143","Bandung","APOTEK MERDEKA","KETOCONAZOLE TABLET 200 MG","OGB & PH",24,2819,67656
"2022-05-02","May","IN6105","Bekasi","APOTEK SINAR JAYA","ACYCLOVIR DUS","OGB & PH",21,1170,24570
"2022-05-02","May","IN6007","Bekasi","APOTEK SINAR JAYA","KETOCONAZOLE TABLET 200 MG","OGB & PH",9,2819,25371
"2022-05-02","May","IN6223","Padang","APOTEK SAHABAT","TRAMADOL KAPSUL 50 MG","VNS",6,8701,52206
"2022-05-03","May","IN6294","Kuningan","APOTEK MAJA","ALERGINE TABLET SALUT","ETIKAL",98,2338,229124
"2022-05-03","May","IN6270","Kuningan","APOTEK MAJA","ERGOTAMINE COFFEINE","ETIKAL",19,4592,87248
"2022-05-03","May","IN6112","Kuningan","APOTEK MAJA","ERGOTAMINE COFFEINE","ETIKAL",34,4592,156128
"2022-05-03","May","IN6273","Lampung","KLINIK DR. ANDRI","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","SLCYL",79,5648,446192
"2022-05-03","May","IN6213","Padang","APOTEK SAHABAT","ALERGINE TABLET SALUT","ETIKAL",22,2338,51436
"2022-05-03","May","IN6115","Padang","APOTEK SAHABAT","ERGOTAMINE COFFEINE","ETIKAL",10,4592,45920
"2022-05-03","May","IN5990","Tangerang","KLINIK SAHABAT","ACYCLOVIR DUS","ETIKAL",10,4592,45920
"2022-05-03","May","IN6037","Tangerang","KLINIK SAHABAT","ALERGINE TABLET SALUT","ETIKAL",45,2338,105210
"2022-05-13","May","IN6168","Jakarta","KLINIK GM","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","SLCYL",24,5648,135552
"2022-05-14","May","IN6192","Bandung","APOTEK MERDEKA","KETOCONAZOLE TABLET 200 MG","OGB & PH",10,2819,28190
"2022-05-15","May","IN6285","Tangerang","KLINIK SAHABAT","ACYCLOVIR DUS","ETIKAL",130,4592,596960
"2022-05-16","May","IN6077","Bekasi","APOTEK SINAR JAYA","ALERGINE TABLET SALUT","MARCKS",12,3992,47904
"2022-05-17","May","IN6057","Padang","APOTEK SAHABAT","AMPICILLIN","VNS",10,5781,57810
"2022-05-18","May","IN6252","Lampung","KLINIK DR. ANDRI","TRAMADOL KAPSUL 50 MG","SLCYL",67,6940,464980
"2022-05-19","May","IN6272","Aceh","APOTEK TAPAK","ACYCLOVIR DUS","OGB & PH",98,1170,114660
"2022-05-19","May","IN6283","Lampung","KLINIK DR. ANDRI","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","SLCYL",10,5648,56480
"2022-05-20","May","IN6169","Aceh","APOTEK TAPAK","KETOCONAZOLE TABLET 200 MG","OGB & PH",67,2819,188873
"2022-05-20","May","IN6150","Kuningan","APOTEK MAJA","ALERGINE TABLET SALUT","ETIKAL",5,2338,11690
"2022-05-21","May","IN6298","Jakarta","KLINIK GM","AMPICILLIN","MARCKS",4,10691,42764
"2022-05-21","May","IN6121","Kuningan","APOTEK MAJA","ERGOTAMINE COFFEINE","ETIKAL",98,4592,450016
"2022-05-22","May","IN6295","Bandung","APOTEK MERDEKA","TRAMADOL KAPSUL 50 MG","VNS",8,8701,69608
"2022-05-22","May","IN6117","Jakarta","KLINIK GM","TETRACYCLINE KAPSUL 250 MG","MARCKS",5,3992,19960
"2022-05-23","May","IN6201","Bandung","APOTEK MERDEKA","AMBROXOL HC","VNS",4,5781,23124
"2022-05-23","May","IN6022","Tangerang","KLINIK SAHABAT","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","SLCYL",9,5648,50832
"2022-05-24","May","IN6090","Bekasi","APOTEK SINAR JAYA","KETOCONAZOLE TABLET 200 MG","OGB & PH",21,2819,59199
"2022-05-24","May","IN6179","Tangerang","KLINIK SAHABAT","PARACETAMOL","SLCYL",8,6940,55520
"2022-05-25","May","IN5978","Bekasi","APOTEK SINAR JAYA","ACYCLOVIR DUS","OGB & PH",9,1170,10530
"2022-05-25","May","IN5996","Padang","APOTEK SAHABAT","ERGOTAMINE COFFEINE","ETIKAL",22,4592,101024
"2022-05-26","May","IN6111","Aceh","APOTEK TAPAK","TETRACYCLINE KAPSUL 250 MG","MARCKS",12,3992,47904
"2022-05-26","May","IN5993","Padang","APOTEK SAHABAT","ALERGINE TABLET SALUT","ETIKAL",1,2338,2338
"2022-05-27","May","IN6160","Aceh","APOTEK TAPAK","AMPICILLIN","MARCKS",5,10691,53455
"2022-05-28","May","IN6282","Kuningan","APOTEK MAJA","TRAMADOL KAPSUL 50 MG","VNS",9,8701,78309
"2022-05-29","May","IN6093","Jakarta","KLINIK GM","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","SLCYL",13,5648,73424
"2022-05-30","May","IN6166","Bandung","APOTEK MERDEKA","KETOCONAZOLE TABLET 200 MG","OGB & PH",1,2819,2819
"2022-05-31","May","IN6010","Tangerang","KLINIK SAHABAT","ACYCLOVIR DUS","ETIKAL",5,4592,22960
"2022-06-01","June","IN6100","Bekasi","APOTEK SINAR JAYA","ALERGINE TABLET SALUT","MARCKS",9,3992,35928
"2022-06-02","June","IN6222","Padang","APOTEK SAHABAT","AMPICILLIN","VNS",1,5781,5781
"2022-06-03","June","IN6032","Lampung","KLINIK DR. ANDRI","TRAMADOL KAPSUL 50 MG","SLCYL",23,6940,159620
"2022-06-04","June","IN6198","Aceh","APOTEK TAPAK","ACYCLOVIR DUS","OGB & PH",4,1170,4680
"2022-06-05","June","IN6212","Kuningan","APOTEK MAJA","ALERGINE TABLET SALUT","ETIKAL",2,2338,4676
"2022-06-06","June","IN6288","Jakarta","KLINIK GM","AMPICILLIN","MARCKS",17,10691,181747
"2022-06-07","June","IN6059","Bandung","APOTEK MERDEKA","TRAMADOL KAPSUL 50 MG","VNS",11,8701,95711
"2022-06-08","June","IN6236","Tangerang","KLINIK SAHABAT","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","SLCYL",12,5648,67776
"2022-06-09","June","IN6296","Bekasi","APOTEK SINAR JAYA","KETOCONAZOLE TABLET 200 MG","OGB & PH",12,2819,33828
"2022-06-10","June","IN6324","Padang","APOTEK SAHABAT","ERGOTAMINE COFFEINE","ETIKAL",25,4592,114800
"2022-06-11","June","IN6091","Aceh","APOTEK TAPAK","TETRACYCLINE KAPSUL 250 MG","MARCKS",14,3992,55888
"2022-06-12","June","IN6033","Kuningan","APOTEK MAJA","AMBROXOL HC","VNS",34,5781,196554
"2022-06-13","June","IN6159","Jakarta","KLINIK GM","PARACETAMOL","SLCYL",67,6940,464980
"2022-06-14","June","IN6264","Bandung","APOTEK MERDEKA","ACYCLOVIR DUS","OGB & PH",15,1170,17550
"2022-06-15","June","IN6046","Tangerang","KLINIK SAHABAT","ALERGINE TABLET SALUT","ETIKAL",12,2338,28056
"2022-06-16","June","IN6109","Aceh","APOTEK TAPAK","AMPICILLIN","MARCKS",12,10691,128292
"2022-06-16","June","IN6000","Aceh","APOTEK TAPAK","TETRACYCLINE KAPSUL 250 MG","MARCKS",7,3992,27944
"2022-06-16","June","IN5992","Bekasi","APOTEK SINAR JAYA","ALERGINE TABLET SALUT","MARCKS",23,3992,91816
"2022-06-16","June","IN6268","Bekasi","APOTEK SINAR JAYA","AMPICILLIN","MARCKS",25,10691,267275
"2022-06-16","June","IN6165","Bekasi","APOTEK SINAR JAYA","AMPICILLIN","MARCKS",34,10691,363494
"2022-06-16","June","IN6012","Jakarta","KLINIK GM","AMPICILLIN","MARCKS",5,10691,53455
"2022-06-16","June","IN6123","Jakarta","KLINIK GM","TETRACYCLINE KAPSUL 250 MG","MARCKS",12,3992,47904
"2022-06-16","June","IN6204","Jakarta","KLINIK GM","TETRACYCLINE KAPSUL 250 MG","MARCKS",34,3992,135728
